Title,Transaction Date,Acquired_Disposed,Amount,Price
Common Stock,10/15/2024,A,"8,115",(1)
Common Stock(2),10/15/2024,D,"3,985",$233.85
Common Stock(1),10/04/2024,D,"59,305",$226.52(2)
Common Stock,10/01/2024,A,"127,282",(1)(2)
Common Stock(4),10/01/2024,D,"67,552",$226.21
Common Stock(5),10/02/2024,D,"51,674",$226.8(6)
Common Stock(5),10/02/2024,D,"8,056",$227.22(7)
Common Stock,10/01/2024,A,"127,282",(1)(2)
Common Stock(3),10/01/2024,D,"67,977",$226.21
Common Stock,10/01/2024,A,"127,282",(1)(2)
Common Stock(3),10/01/2024,D,"66,263",$226.21
Common Stock(4),10/02/2024,D,"5,850",$223.79(5)
Common Stock(4),10/02/2024,D,"6,454",$224.59(6)
Common Stock(4),10/02/2024,D,"7,550",$225.87(7)
Common Stock(4),10/02/2024,D,"38,170",$226.82(8)
Common Stock(4),10/02/2024,D,"2,995",$227.24(9)
Common Stock,10/01/2024,A,"477,301",(1)(2)
Common Stock(4),10/01/2024,D,"253,315",$226.21
Common Stock(5),10/02/2024,D,"109,741",$223.75(6)
Common Stock(5),10/02/2024,D,"61,912",$224.46(7)
Common Stock(5),10/02/2024,D,"45,140",$225.86(8)
Common Stock(5),10/02/2024,D,"7,193",$226.57(9)
Common Stock,10/01/2024,A,"127,282",(1)(2)
Common Stock(3),10/01/2024,D,"66,263",$226.21
Common Stock(4),10/02/2024,D,"38,691",$226.72(5)
Common Stock(4),10/02/2024,D,"22,328",$227.13(6)
Common Stock,08/15/2024,D,"8,706",$225
Common Stock,08/09/2024,D,"5,178",$216.5
Common Stock,08/05/2024,D,"97,600",$206.42(1)
Common Stock,08/05/2024,D,"2,400",$207.05(2)
Common Stock,08/07/2024,D,"4,500",N/A
Common Stock,05/30/2024,D,"75,000",$191.58(1)
Common Stock,,,,
Common Stock,05/15/2024,D,"4,999",$190.395
Common Stock,05/10/2024,D,"1,850",N/A
Common Stock,04/15/2024,A,"8,119",(1)
Common Stock(3),04/15/2024,D,"3,120",$172.69
Common Stock(1),04/11/2024,D,"59,162",$172.22(2)
Common Stock(1),04/11/2024,D,"12,700",$173.19(2)
Common Stock(1),04/11/2024,D,"27,600",$174.12(3)
Common Stock(1),04/11/2024,D,"12,894",$175.02(4)
Common Stock,04/01/2024,A,"113,309",(1)
Common Stock(4),04/01/2024,D,"54,147",$170.03
Common Stock,04/01/2024,A,"113,309",(1)
Common Stock(3),04/01/2024,D,"58,577",$170.03
Common Stock(4),04/02/2024,D,"54,732",$168.91(5)
Common Stock,04/01/2024,A,"113,309",(1)
Common Stock(3),04/01/2024,D,"60,115",$170.03
Common Stock,04/01/2024,A,"196,410",(1)
Common Stock(4),04/01/2024,D,"99,183",$170.03
Common Stock(5),04/02/2024,D,"97,062",$168.62(6)
Common Stock(5),04/02/2024,D,165,$169.3
Common Stock,04/01/2024,A,"113,309",(1)
Common Stock(3),04/01/2024,D,"58,577",$170.03
Common Stock(4),04/02/2024,D,"54,732",$168.9(5)
Common Stock,02/29/2024,D,"100,000",$180.94(1)
Common Stock,,,,
Common Stock,02/01/2024,A,"1,852",(1)
Common Stock,,,,
Common Stock,,,,
Common Stock,02/01/2024,A,"1,852",(1)
Common Stock,02/01/2024,A,"1,852",(1)
Common Stock,02/01/2024,A,"1,852",(1)
Common Stock,,,,
Common Stock,02/01/2024,A,"1,852",(1)
Common Stock,02/01/2024,A,"1,852",(1)
Common Stock,02/01/2024,A,"1,852",(1)
Common Stock,02/01/2024,A,"1,852",(1)
Common Stock,11/29/2023,D,"5,513",$192
Common Stock,11/16/2023,D,"123,448",N/A
Common Stock,11/16/2023,A,"123,448",N/A
Common Stock,11/17/2023,D,"123,448",$188.79(2)
Common Stock,11/10/2023,D,"4,806",$184.04(1)
Common Stock,10/15/2023,A,"10,785",(1)
Common Stock(3),10/15/2023,D,"5,272",$178.85
Common Stock(1),10/06/2023,D,"69,785",$177
Common Stock(1),10/06/2023,D,"32,010",$177.89(2)
Common Stock(1),10/09/2023,D,"19,000",$178.55(3)
Common Stock(1),10/09/2023,D,"12,685",$178.91(4)
Common Stock,10/01/2023,A,"136,268",(1)(2)
Common Stock(4),10/01/2023,D,"66,483",$171.21
Common Stock,10/01/2023,A,"136,268",(1)(2)
Common Stock(3),10/01/2023,D,"70,732",$171.21
Common Stock(4),10/03/2023,D,"61,610",$172.08(5)
Common Stock(4),10/03/2023,D,"3,926",$172.65(6)
Common Stock,10/01/2023,A,"136,268",(1)(2)
Common Stock(3),10/01/2023,D,"72,573",$171.21
Common Stock,10/01/2023,A,"511,000",(1)(2)
Common Stock(5),10/01/2023,D,"270,431",$171.21
Common Stock(6),10/03/2023,D,"55,664",$171.42(7)
Common Stock(6),10/03/2023,D,"99,223",$172.52(8)
Common Stock(6),10/03/2023,D,"85,682",$173.18(9)
Common Stock,10/01/2023,A,"136,268",(1)(2)
Common Stock(3),10/01/2023,D,"70,732",$171.21
Common Stock(4),10/03/2023,D,"25,850",$171.62(5)
Common Stock(4),10/03/2023,D,"32,886",$172.23(6)
Common Stock(4),10/03/2023,D,"6,800",$173.24(7)
Common Stock,08/08/2023,D,"5,600",N/A
Common Stock,08/05/2023,A,"31,896",(1)
Common Stock(3),08/05/2023,D,"16,477",$181.99
Common Stock(4),08/07/2023,D,"15,419",$178.56(5)
Common Stock,,A,8115,N/A
Common Stock,,D,3985,233.85
Common Stock,,D,59305,226.52
Common Stock,,A,127282,N/A
Common Stock,,D,67552,226.21
Common Stock,,D,51674,226.80
Common Stock,,D,8056,227.22
Common Stock,,A,127282,N/A
Common Stock,,D,67977,226.21
Common Stock,,A,127282,N/A
Common Stock,,D,66263,226.21
Common Stock,,D,5850,223.79
Common Stock,,D,6454,224.59
Common Stock,,D,7550,225.87
Common Stock,,D,38170,226.82
Common Stock,,D,2995,227.24
Common Stock,,A,477301,N/A
Common Stock,,D,253315,226.21
Common Stock,,D,109741,223.75
Common Stock,,D,61912,224.46
Common Stock,,D,45140,225.86
Common Stock,,D,7193,226.57
Common Stock,,A,127282,N/A
Common Stock,,D,66263,226.21
Common Stock,,D,38691,226.72
Common Stock,,D,22328,227.13
Common Stock,,D,8706,225
Common Stock,,D,5178,216.50
Common Stock,,D,97600,206.42
Common Stock,,D,2400,207.05
Common Stock,,D,4500,0
Common Stock,,D,75000,191.58
Common Stock,,D,4999,190.395
Common Stock,,D,1850,0
Common Stock,,A,8119,N/A
Common Stock,,D,3120,172.69
Common Stock,,D,59162,172.22
Common Stock,,D,12700,173.19
Common Stock,,D,27600,174.12
Common Stock,,D,12894,175.02
Common Stock,,A,113309,N/A
Common Stock,,D,54147,170.03
Common Stock,,A,113309,N/A
Common Stock,,D,58577,170.03
Common Stock,,D,54732,168.91
Common Stock,,A,113309,N/A
Common Stock,,D,60115,170.03
Common Stock,,A,196410,N/A
Common Stock,,D,99183,170.03
Common Stock,,D,97062,168.62
Common Stock,,D,165,169.30
Common Stock,,A,113309,N/A
Common Stock,,D,58577,170.03
Common Stock,,D,54732,168.90
Common Stock,,D,100000,180.94
Common Stock,,A,1852,N/A
Common Stock,,A,1852,N/A
Common Stock,,A,1852,N/A
Common Stock,,A,1852,N/A
Common Stock,,A,1852,N/A
Common Stock,,A,1852,N/A
Common Stock,,A,1852,N/A
Common Stock,,A,1852,N/A
Common Stock,,D,5513,192
Common Stock,,D,123448,0
Common Stock,,A,123448,0
Common Stock,,D,123448,188.79
Common Stock,,D,4806,184.04
Common Stock,,A,10785,N/A
Common Stock,,D,5272,178.85
Common Stock,,D,69785,177
Common Stock,,D,32010,177.89
Common Stock,,D,19000,178.55
Common Stock,,D,12685,178.91
Common Stock,,A,136268,N/A
Common Stock,,D,66483,171.21
Common Stock,,A,136268,N/A
Common Stock,,D,70732,171.21
Common Stock,,D,61610,172.08
Common Stock,,D,3926,172.65
Common Stock,,A,136268,N/A
Common Stock,,D,72573,171.21
Common Stock,,A,511000,N/A
Common Stock,,D,270431,171.21
Common Stock,,D,55664,171.42
Common Stock,,D,99223,172.52
Common Stock,,D,85682,173.18
Common Stock,,A,136268,N/A
Common Stock,,D,70732,171.21
Common Stock,,D,25850,171.62
Common Stock,,D,32886,172.23
Common Stock,,D,6800,173.24
Common Stock,,D,5600,0
Common Stock,,A,31896,N/A
Common Stock,,D,16477,181.99
Common Stock,,D,15419,178.56
